Table_data_1	Table_data_date	Latitude	Longitude
	Infobox_1	Infobox_2	Infobox_3
Log_entry	Log Date	Latitude	Longitude
"Friday, 26th. First part fresh Breezes and Cloudy, remainder little wind and Clear. At 2 p.m. got under Sail and put to Sea, having on board 94 Persons, including Officers, Seamen, Gentlemen, and their Servants; near 18 Months' Provisions, 10 Carriage Guns, 12 Swivels, with good Store of Ammunition and Stores of all kinds. At 8 the Dodman Point West-North-West, distant 4 or 5 Leagues; at 6 a.m. the Lizard bore West-North-West 1/2 West, 5 or 6 Leagues distant. At Noon Sounded and had 50 fathoms, Grey sand with small Stones and broken Shells. Wind North by West, North-West, West by South; course South 21 degrees East; distance 23 miles; latitude 49 degrees 30 minutes North, longitude 5 degrees 52 minutes West; at noon, Lizard North 21 degrees West distant 23 miles."	1768-08-26	49.5	-5.86666666666667
"Saturday, 27th. First part Light Airs and Clear weather, remainder fresh breezes and Cloudy. Berthed the Ship's Company, Mustered the Chests and Stove all that were unnecessary. Wind North-West, North-East, South-East; course South-West; distance 77 miles; latitude 48 degrees 42 minutes North, longitude 6 degrees 49 minutes West; at noon, Lizard North 29 degrees East, 80 miles."	1768-08-27	48.7	-6.81666666666667
"Sunday, 28th. Former part fresh Gales and Hazey with rain; remainder a Moderate breeze and Cloudy. Wind Easterly; course South 48 degrees West; distance 130 miles; latitude 47 degrees 16 minutes North, longitude 9 degrees 7 minutes West; at noon Lizard North 40 degrees 5 minutes East; 69 leagues."	1768-08-28	47.2666666666667	-9.11666666666667
"Monday, 29th. Light Airs and Hazey the Most part of these 24 hours with some Rain. Wind North-Westerly; course South 21 degrees West; distance 41 miles; latitude 46 degrees 38 minutes North, longitude 9 degrees 29 minutes West; at noon, Lizard North 37 degrees 45 minutes East, 86 leagues."	1768-08-29	46.6333333333333	-9.48333333333333
"Tuesday, 30th. Fresh Gales all these 24 Hours. At 1/2 past 1 p.m. Spoke with His Majesty's Ship Guardaloupe; at 6 Close Reeft the Topsails, and got down the Top Gallant Yards. Wind Westerly; course South 27 degrees West; distance 33 miles; latitude 46 degrees 9 minutes North, longitude 9 degrees 52 minutes West; at noon, Lizard North 36 degrees East, 96 leagues."	1768-08-30	46.15	-9.86666666666667
"Wednesday, 31st. First and Middle parts, Moderate breezes and Clear; Latter, fresh Gales and Cloudy. At 6 p.m. loosed the 2nd Reef out of the Topsails, and at 8 a.m. took them in again; at Noon Tacked and stood to the North-West, having stood before to the Southward. Wind West to South-West; course South 36 degrees East; distance 82 miles; latitude 45 degrees 3 minutes North, longitude 8 degrees 43 minutes West; at noon, Lizard North-North-East, 105 leagues."	1768-08-31	45.05	-8.71666666666667
"Friday, 2nd. Fresh Gales and Cloudy the most part of these 24 hours. P.M. got up the spare Mainsail to dry, it being Wet by the Water getting into the Sail room, occasioned by the Ship being very Leakey in her upper works. At 5 a.m. loosed 2 Reefs out of each Topsail, and saw the Land, which we judged to be Cape Finister and Cape Ortugal. At 10 Tackt, being about 4 miles off Shore, and stood to the North-West; at Noon, Cape Ortugal bore East by South, distance about 8 Leagues. Wind North by West, West, South-West, West-South-West; course South by West; distance 64 miles; latitude 43 degrees 53 minutes North, longitude 9 degrees 26 minutes West; at noon, Lizard North-North-East, 130 leagues."	1768-09-02	43.8833333333333	-9.43333333333333
"Saturday, 3rd. First part little wind and Hazey, with rain; remainder strong Gales with hard squalls, which brought us under our close Reeft Topsails, and obliged us to strike Topgallant Yards. At 8 a.m. wore ship and stood to the Southward. Wind South-West and West; course South 68 degrees 45 minutes West; distance 44 miles; latitude 44 degrees 9 minutes North, longitude 10 degrees 20 minutes West; at noon, Lizard North 29 1/2 degrees East, 138 leagues."	1768-09-03	44.15	-10.3333333333333
