		DROP	Slider_1	Checkbox_1	DROP	Slider_2	DROP		DROP	Latitude	Longitude	DROP	DROP	Category_color
Infobox_1	Infobox_2			Infobox_4				Infobox_3						
Country	Project Name	Unit Name	Capacity (MW)	Status	Model	Start Year	Retirement Year	Owner	Operator	Latitude	Longitude	"Major Area (prefecture, district)"	State/Province	Reactor_type
United States	SM-1A nuclear power plant	NA	1.64	retired	unknown	1962	1972	US Department of Defense	United States Army	63.97376	-145.7178	NA	Alaska	pressurized water reactor
United States	Humboldt Bay nuclear power plant	NA	65	retired	Natural cir.	1963	1976	Pacific Gas and Electric CO	Pacific Gas and Electric CO	40.7407	-124.2091	NA	California	boiling water reactor
United States	Trojan nuclear power plant	NA	1155	retired	unknown	1976	1992	NA	Portland General Electric CO	46.0392	-122.8843	NA	Oregon	pressurized water reactor
United States	Vallecitos nuclear power plant	NA	24	retired	unknown	1957	1963	General Electric; Pacific Gas And Electric CO	General Electric	37.61101	-121.8368	NA	California	boiling water reactor
United States	Rancho Seco nuclear power plant	1	917	retired	unknown	1975	1989	Sacramento Municipal Utility District	Sacramento Municipal Utility District	38.3445	-121.1206	NA	California	pressurized water reactor
United States	Diablo Canyon nuclear power plant	1	1197	operating	WH 4LP (DRYAMB)	1985	2024	Pacific Gas and Electric CO	Pacific Gas and Electric CO	35.2115	-120.8555	CAL Fire Southern Region	California	pressurized water reactor
United States	Diablo Canyon nuclear power plant	2	1197	operating	WH 4LP (DRYAMB)	1986	2025	Pacific Gas and Electric CO	Pacific Gas and Electric CO	35.2115	-120.8555	CAL Fire Southern Region	California	pressurized water reactor
United States	Columbia nuclear power plant	NA	1190	operating	BWR-5 (Mark 2)	1984	NA	Energy Northwest	Energy Northwest	46.4711	-119.3339	NA	Washington	boiling water reactor
United States	San Onofre nuclear power plant	2	1127	retired	CE (2-loop) DRYAMB	1983	2013	Southern California Edison (SCE)	Southern California Edison CO	33.3692	-117.5553	NA	California	pressurized water reactor
United States	San Onofre nuclear power plant	1	456	retired	unknown	1968	1992	Southern California Edison (SCE)	Southern California Edison CO	33.3689	-117.5548	NA	California	pressurized water reactor
United States	San Onofre nuclear power plant	3	1127	retired	CE (2-loop) DRYAMB	1984	2013	Southern California Edison (SCE)	Southern California Edison CO	33.3686	-117.5543	NA	California	pressurized water reactor
United States	Experimental Breeder Reactor nuclear power plant	1	0.2	retired	unknown	1951	1964	US Department of Energy	Argonne National Laboratory-West	43.51151	-113.0087	NA	Idaho	other
United States	Experimental Breeder Reactor nuclear power plant	2	19	retired	unknown	1965	1994	US Department of Energy	Argonne National Laboratory-West	43.59509	-113.0087	NA	Idaho	other
United States	Palo Verde nuclear power plant	1	1414	operating	CE80 2LP (DRYAMB)	1986	NA	Arizona Public Service CO	Arizona Public Service CO	33.3881	-112.8617	NA	Arizona	pressurized water reactor
United States	Palo Verde nuclear power plant	2	1414	operating	CE80 2LP (DRYAMB)	1986	NA	Arizona Public Service CO	Arizona Public Service CO	33.3881	-112.8617	NA	Arizona	pressurized water reactor
