,Checkbox_1,Slider_1,Latitude,Longitude
Infobox_1,Infobox_2,Infobox_3,,
President,Party,Birth_year,Lat,Lon
George Washington,None,1732,37.2318,-80.0057
John Adams,Federalist,1735,42.3,-70.97
Thomas Jefferson,Democratic-Republican,1743,38.9602,-77.2049
James Madison,Democratic-Republican,1751,38.2897,-77.1941
James Monroe,Democratic-Republican,1758,37.5,-80.25
John Quincy Adams,Democratic-Republican,1767,42.0423,-71.2256
Andrew Jackson,Democrat,1767,34.7212,-80.7712
Martin Van Buren,Democrat,1782,42.3679,-73.5594
William Henry Harrison,Democrat,1773,37.4018,-77.1485
John Tyler,Whig,1790,37.65,-77.4
James K. Polk,Democrat,1795,35.2633,-80.8544
Zachary Taylor,Whig,1784,38.2427,-77.9739
Millard Fillmore,Whig,1800,42.7655,-76.5488
Franklin Pierce,Democrat,1804,42.8335,-71.6673
James Buchanan,Democrat,1791,39.8924,-77.6536
Abraham Lincoln,Republican,1809,37.519,-85.7256
Andrew Johnson,National Union,1808,35.8032,-78.5661
Ulysses S. Grant,Republican,1822,39.0928,-84.1857
Rutherford B. Hayes,Republican,1822,40.3033,-83.0361
James A. Garfield,Republican,1831,41.7048,-81.7787
Chester Arthur,Republican,1829,44.8107,-73.0906
Grover Cleveland,Democrat,1837,40.7947,-74.2649
Benjamin Harrison,Republican,1833,39.2355,-84.5641
William McKinley,Republican,1843,41.3171,-80.7612
Theodore Roosevelt,Republican,1858,40.7831,-73.9712
William Howard Taft,Republican,1857,39.48,-84.81
Woodrow Wilson,Democrat,1856,38.1496,-79.0717
Warren G. Harding,Republican,1865,40.5304,-82.8008
Calvin Coolidge,Republican,1872,43.5801,-72.5861
Herbert Hoover,Republican,1874,41.6714,-91.3466
Franklin D. Roosevelt,Democrat,1882,41.7784,-73.7478
Harry S. Truman,Republican,1884,37.4749,-94.3154
Dwight Eisenhower,Republican,1890,33.7062,-96.6638
John F. Kennedy,Democrat,1917,42.29,-71.47
Lyndon B. Johnson,Democrat,1908,30.315,-98.9245
Richard Nixon,Republican,1913,33.7175,-117.8311
Gerald Ford,Republican,1913,41.3148,-96.1951
Jimmy Carter,Democrat,1924,31.9982,-84.2279
Ronald Reagan,Republican,1911,41.7606,-89.8505
George H. W. Bush,Republican,1924,41.8,-71.47
Bill Clinton,Democrat,1946,33.653,-93.6623
George W. Bush,Republican,1946,41.3267,-72.8043
Barack Obama,Democrat,1961,21.307,-157.8584
Donald J. Trump,Republican,1946,40.7282,-73.7949
Joe Biden,Democrat,1942,41.4421,-75.5742
